check_in,check_out,nights,villa_name,platform
2023-05-27,2023-05-29,2,chandra,airbnb
2023-05-21,2023-05-24,3,lakshmi,airbnb
2023-05-21,2023-05-24,3,chandra,airbnb
2023-05-17,2023-05-21,4,surya,airbnb
2023-05-14,2023-05-18,4,chandra,airbnb
2023-05-13,2023-05-15,2,lakshmi,airbnb
2023-05-05,2023-05-07,2,lakshmi,airbnb
2023-05-12,2023-05-17,5,surya,airbnb
2023-05-08,2023-05-12,4,surya,airbnb
2023-05-08,2023-05-10,2,akasha,airbnb
2023-05-06,2023-05-09,3,chandra,airbnb
2023-05-03,2023-05-06,3,chandra,airbnb
2023-05-02,2023-05-03,1,chandra,airbnb
2023-05-01,2023-05-02,1,chandra,airbnb
2023-05-01,2023-05-04,3,jala,airbnb
2023-04-30,2023-05-04,4,surya,airbnb
2023-04-27,2023-04-29,2,surya,airbnb
2023-04-26,2023-04-29,3,akasha,airbnb
2023-04-26,2023-05-01,5,chandra,airbnb
2023-04-19,2023-04-23,4,surya,airbnb
2023-04-15,2023-04-16,1,chandra,airbnb
2023-04-14,2023-04-20,6,akasha,airbnb
2023-04-12,2023-04-14,2,chandra,airbnb
2023-04-11,2023-04-16,5,jala,airbnb
2023-04-09,2023-04-13,4,akasha,airbnb
2023-04-07,2023-04-09,2,jala,airbnb
2023-04-06,2023-04-08,2,chandra,airbnb
2023-04-04,2023-04-07,3,lakshmi,airbnb
2023-04-04,2023-04-05,1,chandra,airbnb
2023-04-01,2023-04-02,1,surya,airbnb
2023-04-01,2023-04-04,3,jala,airbnb
2023-03-30,2023-04-04,5,chandra,airbnb
2023-03-28,2023-03-30,2,chandra,airbnb
2023-03-25,2023-04-03,9,akasha,airbnb
2023-03-25,2023-03-28,3,chandra,airbnb
2023-03-21,2023-03-25,4,surya,airbnb
2023-03-18,2023-03-24,6,akasha,airbnb
2023-03-17,2023-03-19,2,chandra,airbnb
2023-03-17,2023-03-21,4,surya,airbnb
2023-03-11,2023-03-15,4,surya,airbnb
2023-03-10,2023-03-12,2,chandra,airbnb
2023-03-08,2023-03-11,3,surya,airbnb
2023-03-05,2023-03-08,3,surya,airbnb
2023-03-04,2023-03-10,6,chandra,airbnb
2023-03-01,2023-03-04,3,surya,airbnb
2023-02-26,2023-02-28,2,surya,airbnb
2023-02-22,2023-02-24,2,lakshmi,airbnb
2023-02-22,2023-02-25,3,chandra,airbnb
2023-02-20,2023-02-26,6,surya,airbnb
2023-02-18,2023-02-22,4,chandra,airbnb
2023-02-11,2023-02-13,2,chandra,airbnb
2023-02-08,2023-02-11,3,surya,airbnb
2023-02-04,2023-02-11,7,chandra,airbnb
2023-02-04,2023-02-05,1,akasha,airbnb
2023-02-03,2023-02-04,1,chandra,airbnb
2023-02-02,2023-02-11,9,jala,airbnb
2023-02-02,2023-02-04,2,surya,airbnb
2023-01-31,2023-02-02,2,chandra,airbnb
2023-01-30,2023-02-01,2,jala,airbnb
2023-01-30,2023-01-31,1,chandra,airbnb
2023-01-29,2023-02-01,3,surya,airbnb
2023-01-28,2023-01-30,2,chandra,airbnb
2023-01-25,2023-01-27,2,surya,airbnb
2023-01-24,2023-01-27,3,chandra,airbnb
2023-01-23,2023-01-25,2,surya,airbnb
2023-01-20,2023-01-24,4,chandra,airbnb
2023-01-18,2023-01-20,2,chandra,airbnb
2023-01-15,2023-01-17,2,surya,airbnb
2023-01-12,2023-01-15,3,chandra,airbnb
2023-01-12,2023-01-17,5,jala,airbnb
2023-01-10,2023-01-12,2,chandra,airbnb
2023-01-10,2023-01-11,1,surya,airbnb
2023-01-09,2023-01-10,1,surya,airbnb
2023-01-06,2023-01-08,2,chandra,airbnb
2023-01-05,2023-01-06,1,chandra,airbnb
2023-01-04,2023-01-05,1,surya,airbnb
2023-01-04,2023-01-05,1,chandra,airbnb
2023-01-03,2023-01-04,1,chandra,airbnb
2023-01-02,2023-01-05,3,surya,airbnb
2023-01-02,2023-01-03,1,chandra,airbnb
2023-01-01,2023-01-02,1,surya,airbnb
2023-01-01,2023-01-03,2,jala,airbnb
2023-01-01,2023-01-02,1,chandra,airbnb
2022-12-31,2023-01-01,1,chandra,airbnb
2023-01-17,2023-01-22,5,surya,agoda
2023-09-12,2023-09-18,6,jala,agoda
2023-10-22,2023-10-25,3,chandra,agoda
2023-04-21,2023-04-26,5,chandra,agoda
2023-04-12,2023-04-14,2,surya,agoda
2023-03-21,2023-03-23,2,jala,agoda
2023-09-19,2023-09-21,2,chandra,agoda
2023-03-01,2023-03-03,2,jala,agoda
2023-05-12,2023-05-14,2,jala,agoda
2023-05-23,2023-05-28,5,jala,agoda
2023-05-11,2023-05-12,1,chandra,agoda
2023-07-12,2023-07-17,5,jala,agoda
2023-06-13,2023-06-14,1,chandra,agoda
2023-06-12,2023-06-14,2,surya,agoda
2023-08-26,2023-08-29,3,chandra,agoda
2023-06-30,2023-07-03,3,jala,agoda
2023-09-22,2023-09-26,4,surya,agoda
2023-11-11,2023-11-14,3,chandra,agoda
2023-10-01,2023-10-05,4,surya,agoda
2023-10-28,2023-11-03,6,lakshmi,agoda
2023-11-24,2023-11-26,2,surya,agoda
2023-11-04,2023-11-06,2,lakshmi,agoda
2023-01-23,2023-01-25,2,jala,agoda
2023-01-07,2023-01-09,2,surya,agoda
2023-05-15,2023-05-18,3,jala,agoda
2023-02-17,2023-02-18,1,chandra,agoda
2023-04-08,2023-04-12,4,chandra,agoda
2022-12-31,2023-01-01,1,jala,agoda
2023-04-05,2023-04-07,2,jala,agoda
2023-01-15,2023-01-18,3,chandra,agoda
2023-01-02,2023-01-04,2,surya,agoda
2023-01-26,2023-01-30,4,jala,agoda
2023-01-03,2023-01-04,1,jala,agoda
2023-01-07,2023-01-08,1,jala,agoda
2023-02-14,2023-02-16,2,chandra,agoda
2023-02-21,2023-02-22,1,jala,agoda
2023-07-18,2023-07-20,2,surya,agoda
2023-03-04,2023-03-05,1,jala,agoda
2023-02-28,2023-03-01,1,jala,agoda
2023-11-20,2023-11-22,2,surya,agoda
2023-03-21,2023-03-23,2,surya,agoda
2023-03-22,2023-03-24,2,chandra,agoda
2023-07-11,2023-07-12,1,chandra,agoda
2023-07-22,2023-07-23,1,chandra,agoda
2023-03-21,2023-03-22,1,chandra,agoda
2023-06-12,2023-06-15,3,jala,agoda
2023-04-10,2023-04-12,2,surya,agoda
2023-06-28,2023-06-30,2,jala,agoda
2023-06-27,2023-06-28,1,jala,agoda
2023-04-05,2023-04-06,1,chandra,agoda
2023-04-23,2023-04-24,1,jala,agoda
2023-04-29,2023-04-30,1,surya,agoda
2023-06-19,2023-06-25,6,surya,agoda
2023-04-30,2023-05-01,1,jala,agoda
2023-06-22,2023-06-23,1,jala,agoda
2023-07-21,2023-07-24,3,jala,agoda
2023-05-24,2023-05-27,3,chandra,agoda
2023-08-16,2023-08-18,2,akasha,agoda
2023-06-05,2023-06-07,2,surya,agoda
2023-08-03,2023-08-04,1,jala,agoda
2023-09-21,2023-09-24,3,chandra,agoda
2023-11-25,2023-11-28,3,lakshmi,agoda
2023-07-25,2023-07-30,5,jala,agoda
2023-07-25,2023-07-26,1,surya,agoda
2023-07-08,2023-07-09,1,jala,agoda
2023-07-18,2023-07-19,1,chandra,agoda
2023-09-26,2023-09-28,2,jala,agoda
2023-10-12,2023-10-14,2,surya,agoda
2023-09-17,2023-09-18,1,chandra,agoda
2023-08-27,2023-08-28,1,surya,agoda
2023-11-02,2023-11-10,8,surya,agoda
2023-08-24,2023-08-25,1,chandra,agoda
2023-09-03,2023-09-05,2,jala,agoda
2023-10-05,2023-10-07,2,surya,agoda
2023-09-18,2023-09-19,1,chandra,agoda
2023-09-25,2023-09-26,1,chandra,agoda
2023-10-04,2023-10-05,1,jala,agoda
2023-11-16,2023-11-18,2,surya,agoda
2023-11-15,2023-11-16,1,chandra,agoda
2023-11-29,2023-11-30,1,chandra,agoda
2023-01-19,2023-01-23,4,jala,booking
2023-01-17,2023-01-18,1,jala,booking
2023-01-12,2023-01-15,3,surya,booking
2023-01-11,2023-01-12,1,surya,booking
2023-01-08,2023-01-11,3,jala,booking
2023-01-05,2023-01-07,2,surya,booking
2023-01-04,2023-01-07,3,jala,booking
2023-01-03,2023-01-04,1,jala,booking
2023-02-22,2023-02-27,5,jala,booking
2023-02-12,2023-02-20,8,surya,booking
2023-02-11,2023-02-20,9,jala,booking
2023-02-04,2023-02-07,3,surya,booking
2023-03-26,2023-03-30,4,surya,booking
2023-03-23,2023-03-30,7,jala,booking
2023-03-25,2023-03-26,1,surya,booking
2023-03-24,2023-03-25,1,chandra,booking
2023-03-23,2023-03-25,2,surya,booking
2023-03-16,2023-03-21,5,jala,booking
2023-03-15,2023-03-17,2,surya,booking
2023-03-13,2023-03-16,3,jala,booking
2023-03-13,2023-03-16,3,chandra,booking
2023-03-12,2023-03-13,1,jala,booking
2023-03-05,2023-03-12,7,jala,booking
2023-02-25,2023-03-03,6,chandra,booking
2023-04-28,2023-04-30,2,jala,booking
2023-04-24,2023-04-28,4,jala,booking
2023-04-23,2023-04-26,3,surya,booking
2023-04-20,2023-04-25,5,akasha,booking
2023-04-22,2023-04-23,1,jala,booking
2023-04-18,2023-04-22,4,jala,booking
2023-04-16,2023-04-21,5,chandra,booking
2023-04-14,2023-04-18,4,surya,booking
2023-04-05,2023-04-10,5,surya,booking
2023-04-04,2023-04-05,1,surya,booking
2023-04-02,2023-04-04,2,surya,booking
2023-05-22,2023-05-24,2,surya,booking
2023-05-21,2023-05-22,1,surya,booking
2023-05-18,2023-05-22,4,jala,booking
2023-05-19,2023-05-21,2,chandra,booking
2023-05-18,2023-05-19,1,chandra,booking
2023-05-12,2023-05-14,2,chandra,booking
2023-05-08,2023-05-12,4,jala,booking
2023-05-09,2023-05-11,2,chandra,booking
2023-05-04,2023-05-08,4,surya,booking
2023-05-04,2023-05-08,4,jala,booking
2023-06-18,2023-06-20,2,jala,booking
2023-06-14,2023-06-18,4,surya,booking
2023-06-05,2023-06-11,6,jala,booking
2023-05-30,2023-06-04,5,jala,booking
2023-05-26,2023-06-01,6,surya,booking
2023-05-18,2023-05-19,1,chandra,booking
2023-08-01,2023-08-04,3,chandra,booking
2023-07-30,2023-08-02,3,jala,booking
2023-07-26,2023-07-30,4,surya,booking
2023-07-25,2023-07-28,3,chandra,booking
2023-07-24,2023-07-25,1,surya,booking
2023-07-22,2023-07-24,2,akasha,booking
2023-07-13,2023-07-18,5,chandra,booking
2023-07-17,2023-07-18,1,jala,booking
2023-07-09,2023-07-11,2,chandra,booking
2023-07-09,2023-07-11,2,jala,booking
2023-07-06,2023-07-09,3,chandra,booking
2023-07-05,2023-07-06,1,chandra,booking
2023-07-03,2023-07-06,3,surya,booking
2023-06-28,2023-07-02,4,chandra,booking
2023-06-27,2023-06-28,1,chandra,booking
2023-06-24,2023-06-27,3,jala,booking
2023-06-18,2023-06-20,2,jala,booking
2023-08-28,2023-08-30,2,surya,booking
2023-08-26,2023-08-27,1,surya,booking
2023-08-24,2023-08-26,2,jala,booking
2023-08-25,2023-08-26,1,chandra,booking
2023-08-20,2023-08-24,4,jala,booking
2023-08-19,2023-08-21,2,surya,booking
2023-08-14,2023-08-18,4,chandra,booking
2023-08-15,2023-08-16,1,surya,booking
2023-08-15,2023-08-16,1,akasha,booking
2023-08-13,2023-08-15,2,jala,booking
2023-08-08,2023-08-10,2,chandra,booking
2023-08-05,2023-08-08,3,jala,booking
2023-08-01,2023-08-05,4,surya,booking
2023-08-04,2023-08-05,1,jala,booking
2023-08-01,2023-08-04,3,chandra,booking
2023-09-26,2023-09-29,3,lakshmi,booking
2023-09-26,2023-09-29,3,chandra,booking
2023-09-22,2023-09-26,4,jala,booking
2023-09-20,2023-09-24,4,akasha,booking
2023-09-16,2023-09-20,4,surya,booking
2023-09-14,2023-09-20,6,akasha,booking
2023-09-10,2023-09-16,6,surya,booking
2023-09-12,2023-09-16,4,chandra,booking
2023-09-05,2023-09-11,6,jala,booking
2023-09-09,2023-09-10,1,surya,booking
2023-09-08,2023-09-09,1,surya,booking
2023-09-07,2023-09-09,2,chandra,booking
2023-08-27,2023-09-09,13,akasha,booking
2023-09-05,2023-09-06,1,surya,booking
2023-09-01,2023-09-04,3,chandra,booking
2023-08-30,2023-09-04,5,surya,booking
2023-09-01,2023-09-03,2,jala,booking
2023-08-29,2023-09-01,3,chandra,booking
2023-08-26,2023-09-01,6,jala,booking
2023-10-16,2023-10-26,10,lakshmi,booking
2023-10-22,2023-10-24,2,jala,booking
2023-10-18,2023-10-22,4,jala,booking
2023-10-16,2023-10-18,2,chandra,booking
2023-10-14,2023-10-18,4,jala,booking
2023-10-14,2023-10-16,2,surya,booking
2023-10-11,2023-10-14,3,jala,booking
2023-10-07,2023-10-10,3,akasha,booking
2023-10-05,2023-10-10,5,jala,booking
2023-09-29,2023-10-04,5,jala,booking
2023-09-29,2023-10-03,4,akasha,booking
2023-09-29,2023-10-02,3,akasha,booking
2023-09-27,2023-10-01,4,surya,booking
2023-11-21,2023-11-27,6,chandra,booking
2023-11-22,2023-11-24,2,surya,booking
2023-11-18,2023-11-19,1,lakshmi,booking
2023-11-05,2023-11-07,2,jala,booking
2023-10-30,2023-11-02,3,surya,booking
