date,rate
2022-05-09,14552.60233
2022-05-10,14526.61209
2022-05-11,14546.17891
2022-05-12,14632.42892
2022-05-13,14666.20085
2022-05-14,14666.11611
2022-05-15,14613.19515
2022-05-16,14647.93037
2022-05-17,14630.88077
2022-05-18,14740.38115
2022-05-19,14633.01868
2022-05-20,14672.74689
2022-05-21,14672.8676
2022-05-22,14652.22866
2022-05-23,14626.02175
2022-05-24,14636.05669
2022-05-25,14623.25167
2022-05-26,14610.51361
2022-05-27,14539.59225
2022-05-28,14539.65562
2022-05-29,14577.417
2022-05-30,14538.95157
2022-05-31,14546.14202
2022-06-01,14555.77188
2022-06-02,14435.40381
2022-06-03,14445.920559
2022-06-04,14433.7311
2022-06-05,14438.27523
2022-06-06,14438.00731
2022-06-07,14465.79754
2022-06-08,14513.64794
2022-06-09,14612.17573
2022-06-10,14615.16733
2022-06-11,14615.32993
2022-06-12,14553.41043
2022-06-13,14817.43634
2022-06-14,14764.58185
2022-06-15,14714.79838
2022-06-16,14809.28949
2022-06-17,14839.20784
2022-06-18,14839.05671
2022-06-19,14823.24622
2022-06-20,14828.05579
2022-06-21,14833.91833
2022-06-22,14846.80947
2022-06-23,14849.08752
2022-06-24,14829.72433
2022-06-25,14829.76715
2022-06-26,14848.40413
2022-06-27,14815.30274
2022-06-28,14861.40008
2022-06-29,14880.81969
2022-06-30,14929.30295
2022-07-01,14975.5346
2022-07-02,14975.46585
2022-07-03,14938.42479
2022-07-04,15017.29798
2022-07-05,15043.65974
2022-07-06,15015.19957
2022-07-07,14964.94317
2022-07-08,14977.36684
2022-07-09,14977.20849
2022-07-10,14977.36838
2022-07-11,15010.85791
2022-07-12,15014.73704
2022-07-13,15030.79511
2022-07-14,15045.82696
2022-07-15,14996.68899
2022-07-16,14996.75134
2022-07-17,14993.4211
2022-07-18,14981.78874
2022-07-19,14961.20648
2022-07-20,15032.27224
2022-07-21,15016.381814
2022-07-22,14978.31726
2022-07-23,14978.347214
2022-07-24,15018.225188
2022-07-25,14989.447088
2022-07-26,14990.858685
2022-07-27,14920.978396
2022-07-28,14849.949595
2022-07-29,14815.693351
2022-07-30,14815.624194
2022-07-31,14833.203962
2022-08-01,14845.290698
2022-08-02,14895.626046
2022-08-03,14906.754719
2022-08-04,14890.453609
2022-08-05,14946.271333
2022-08-06,14946.420753
2022-08-07,14893.189979
2022-08-08,14831.671239
2022-08-09,14860.20634
2022-08-10,14766.873109
2022-08-11,14732.508868
2022-08-12,14661.810758
2022-08-13,14661.735661
2022-08-14,14668.350065
2022-08-15,14776.603484
2022-08-16,14749.962491
2022-08-17,14770.9954
2022-08-18,14850.334244
2022-08-19,14875.824366
2022-08-20,14875.680874
2022-08-21,14838.363497
2022-08-22,14936.93257
2022-08-23,14860.81115
2022-08-24,14850.258428
2022-08-25,14776.892426
2022-08-26,14852.884881
2022-08-27,14852.81203
2022-08-28,14818.408109
2022-08-29,14902.689752
2022-08-30,14859.705913
2022-08-31,14859.813466
2022-09-01,14902.473112
2022-09-02,14892.62582
2022-09-03,14892.562807
2022-09-04,14897.181383
2022-09-05,14892.570463
2022-09-06,14913.850468
2022-09-07,14908.667624
2022-09-08,14894.700075
2022-09-09,14836.731607
2022-09-10,14836.109421
2022-09-11,14830.418562
2022-09-12,14861.080948
2022-09-13,14967.808486
2022-09-14,14922.75997
2022-09-15,14943.525054
2022-09-16,14999.51044
2022-09-17,14999.594736
2022-09-18,14953.400367
2022-09-19,14986.293074
2022-09-20,15017.985379
2022-09-21,15059.337889
2022-09-22,15026.943907
2022-09-23,15112.422371
2022-09-24,15112.359984
2022-09-25,15038.237749
2022-09-26,15231.681867
2022-09-27,15172.04374
2022-09-28,15175.593833
2022-09-29,15187.959472
2022-09-30,15304.022378
2022-10-01,15304.102283
2022-10-02,15228.272785
2022-10-03,15299.827456
2022-10-04,15185.817488
2022-10-05,15207.199918
2022-10-06,15231.726084
2022-10-07,15291.051257
2022-10-08,15291.064987
2022-10-09,15253.437296
2022-10-10,15350.189946
2022-10-11,15354.378073
2022-10-12,15319.058408
2022-10-13,15372.327028
2022-10-14,15472.543856
2022-10-15,15472.632834
2022-10-16,15427.189763
2022-10-17,15441.852978
2022-10-18,15474.736796
2022-10-19,15628.907483
2022-10-20,15562.499224
2022-10-21,15537.614006
2022-10-22,15537.525476
2022-10-23,15633.251521
2022-10-24,15598.257914
2022-10-25,15557.338557
2022-10-26,15503.030257
2022-10-27,15578.426776
2022-10-28,15557.671348
2022-10-29,15557.740984
2022-10-30,15557.727539
2022-10-31,15652.457562
2022-11-01,15674.202143
2022-11-02,15706.941872
2022-11-03,15790.206669
2022-11-04,15614.724683
2022-11-05,15615.06146
2022-11-06,15614.961118
2022-11-07,15675.025386
2022-11-08,15657.319397
2022-11-09,15674.468591
2022-11-10,15523.672348
2022-11-11,15474.213549
2022-11-12,15474.251597
2022-11-13,15474.317587
2022-11-14,15553.48183
2022-11-15,15570.932637
2022-11-16,15665.41808
2022-11-17,15734.222399
2022-11-18,15641.529419
2022-11-19,15641.852004
2022-11-20,15641.772274
2022-11-21,15741.053687
2022-11-22,15681.807461
2022-11-23,15620.184713
2022-11-24,15629.247582
2022-11-25,15693.817149
2022-11-26,15693.761593
2022-11-27,15693.68029
2022-11-28,15742.841922
2022-11-29,15733.84228
2022-11-30,15637.88236
2022-12-01,15360.928886
2022-12-02,15376.447718
2022-12-03,15376.896726
2022-12-04,15428.43681
2022-12-05,15520.684092
2022-12-06,15625.396558
2022-12-07,15608.349917
2022-12-08,15593.282075
2022-12-09,15603.776139
2022-12-10,15603.372403
2022-12-11,15603.42624
2022-12-12,15676.366939
2022-12-13,15560.216823
2022-12-14,15527.01826
2022-12-15,15633.017822
2022-12-16,15616.071989
2022-12-17,15615.97154
2022-12-18,15615.969254
2022-12-19,15567.578948
2022-12-20,15586.159681
2022-12-21,15570.886421
2022-12-22,15582.491093
2022-12-23,15582.123886
2022-12-24,15590.904641
2022-12-25,15593.651029
2022-12-26,15627.657386
2022-12-27,15649.571851
2022-12-28,15784.442587
2022-12-29,15639.012277
2022-12-30,15530.165576
2022-12-31,15616.798789
2023-01-01,15538.528528
